Block	 Trial	Color	Direction	SubjectPosition	Accuracy
1 	1	B	North	14	0
1 	2	Y	South	18	0
1 	3	R	North	18	0
1 	4	R	South	18	1
1 	5	R	North	18	0
1 	6	Y	South	19	1
1 	7	B	South	13	1
1 	8	R	South	13	1
1 	9	R	North	27	1
1 	10	B	North	10	0
1 	11	B	South	10	1
1 	12	Y	South	14	1
1 	13	R	North	17	1
1 	14	R	South	19	0
1 	15	Y	South	24	0
1 	16	R	North	23	1
1 	17	R	North	20	1
1 	18	B	South	12	1
1 	19	B	North	13	0
1 	20	Y	North	23	1
1 	21	B	North	26	1
1 	22	Y	South	22	1
1 	23	B	South	16	1
1 	24	Y	North	23	1
1 	25	R	North	20	1
1 	26	B	South	24	0
1 	27	B	South	24	0
1 	28	Y	North	19	1
1 	29	B	North	26	1
1 	30	Y	North	22	1
1 	31	Y	South	23	1
1 	32	B	South	15	1
1 	33	Y	South	23	0
1 	34	Y	North	20	0
1 	35	R	South	20	1
1 	36	B	North	27	1
1 	37	R	North	20	0
1 	38	R	South	20	1
1 	39	R	South	20	1
1 	40	R	South	20	0
1 	41	Y	North	20	0
1 	42	B	South	15	1
1 	43	Y	North	21	0
1 	44	Y	South	19	0
1 	45	R	South	20	0
1 	46	B	North	27	0
1 	47	Y	North	18	0
1 	48	B	North	13	0
2 	1	Y	South	20	1
2 	2	B	North	20	1
2 	3	B	North	20	0
2 	4	R	North	20	1
2 	5	R	South	20	1
2 	6	Y	North	20	0
2 	7	R	North	20	0
2 	8	R	South	20	1
2 	9	B	South	18	0
2 	10	R	North	20	1
2 	11	B	South	22	1
2 	12	R	South	20	1
2 	13	R	South	20	1
2 	14	B	South	18	1
2 	15	Y	South	20	1
2 	16	B	South	22	1
2 	17	R	North	20	1
2 	18	B	North	22	0
2 	19	Y	South	20	0
2 	20	B	North	18	1
2 	21	Y	South	20	1
2 	22	Y	North	20	0
2 	23	Y	North	20	1
2 	24	R	South	20	1
2 	25	R	North	20	1
2 	26	Y	North	20	1
2 	27	B	South	22	1
2 	28	R	South	20	1
2 	29	B	South	22	0
2 	30	R	South	20	1
2 	31	B	North	22	0
2 	32	R	North	20	1
2 	33	Y	South	20	1
2 	34	B	North	22	0
2 	35	B	South	22	1
2 	36	R	North	20	1
2 	37	Y	South	20	0
2 	38	Y	South	20	1
2 	39	B	South	22	0
2 	40	R	North	20	1
2 	41	Y	South	20	1
2 	42	B	North	22	1
2 	43	Y	North	20	0
2 	44	B	North	22	1
2 	45	Y	North	20	1
2 	46	R	South	20	1
2 	47	Y	North	20	1
2 	48	Y	North	20	1
