1,304,6,10,0
1,304,6,1,0
1,304,6,7,0
1,304,3,2,0
1,304,NaN,10,0
1,304,NaN,2,0
1,304,NaN,6,0
1,304,NaN,5,0
1,304,4,9,0
1,304,NaN,2,0
1,304,7,6,0
1,304,NaN,4,0
1,246,NaN,7,0
1,246,9,2,0
1,246,9,6,0
1,246,NaN,8,0
1,246,NaN,1,0
1,246,NaN,9,0
1,246,NaN,9,0
1,246,NaN,8,0
1,246,NaN,9,0
1,246,NaN,5,0
1,246,8,1,0
1,246,4,5,0
1,450,6,1,0
1,450,6,7,0
1,450,NaN,10,0
1,450,6,8,0
1,450,NaN,10,0
1,450,6,6,1
1,450,NaN,5,0
1,450,6,4,0
1,450,NaN,8,0
1,450,6,8,0
1,450,NaN,2,0
1,450,4,8,0
1,410,4,3,0
1,410,10,3,0
1,410,NaN,7,0
1,410,NaN,4,0
1,410,5,9,0
1,410,10,2,0
1,410,6,10,0
1,410,8,10,0
1,410,NaN,1,0
1,410,9,3,0
1,410,10,9,0
1,410,NaN,8,0
1,362,1,9,0
1,362,NaN,10,0
1,362,4,9,0
1,362,NaN,1,0
1,362,4,4,1
1,362,4,10,0
1,362,9,3,0
1,362,NaN,7,0
1,362,NaN,7,0
1,362,10,3,0
1,362,4,3,0
1,362,2,1,0
1,100,NaN,5,0
1,100,NaN,3,0
1,100,NaN,8,0
1,100,NaN,8,0
1,100,NaN,7,0
1,100,NaN,7,0
1,100,1,1,1
1,100,NaN,4,0
1,100,NaN,4,0
1,100,7,7,1
1,100,NaN,3,0
1,100,NaN,10,0
1,188,NaN,5,0
1,188,NaN,5,0
1,188,7,6,0
1,188,NaN,7,0
1,188,NaN,9,0
1,188,7,6,0
1,188,7,6,0
1,188,8,10,0
1,188,7,2,0
1,188,9,9,1
1,188,1,1,1
1,188,1,6,0
1,140,4,4,1
1,140,4,4,1
1,140,NaN,2,0
1,140,NaN,2,0
1,140,2,3,0
1,140,3,3,1
1,140,NaN,5,0
1,140,5,5,1
1,140,4,4,1
1,140,6,6,1
1,140,NaN,2,0
1,140,2,6,0
2,362,7,7,1
2,362,4,4,1
2,362,6,1,0
2,362,4,10,0
2,362,8,7,0
2,362,10,3,0
2,362,10,10,1
2,362,4,7,0
2,362,4,7,0
2,362,7,5,0
2,362,2,8,0
2,362,6,8,0
2,304,4,6,0
2,304,7,3,0
2,304,4,7,0
2,304,NaN,2,0
2,304,4,4,1
2,304,10,10,1
2,304,8,4,0
2,304,NaN,6,0
2,304,5,3,0
2,304,2,8,0
2,304,4,9,0
2,304,7,2,0
2,100,NaN,1,0
2,100,NaN,2,0
2,100,NaN,10,0
2,100,NaN,5,0
2,100,2,2,1
2,100,5,5,1
2,100,NaN,4,0
2,100,10,10,1
2,100,NaN,6,0
2,100,7,7,1
2,100,1,1,1
2,100,3,3,1
2,188,5,5,1
2,188,10,10,1
2,188,10,10,1
2,188,NaN,9,0
2,188,5,6,0
2,188,7,7,1
2,188,NaN,3,0
2,188,10,1,0
2,188,6,6,1
2,188,6,6,1
2,188,5,9,0
2,188,NaN,6,0
2,140,NaN,9,0
2,140,6,6,1
2,140,9,9,1
2,140,5,5,1
2,140,3,3,1
2,140,1,1,1
2,140,10,10,1
2,140,5,5,1
2,140,10,10,1
2,140,9,9,1
2,140,NaN,2,0
2,140,4,4,1
2,410,5,3,0
2,410,10,1,0
2,410,6,2,0
2,410,9,7,0
2,410,10,4,0
2,410,10,9,0
2,410,4,4,1
2,410,10,2,0
2,410,10,8,0
2,410,9,3,0
2,410,10,4,0
2,410,NaN,6,0
2,450,7,2,0
2,450,7,6,0
2,450,5,2,0
2,450,4,7,0
2,450,2,1,0
2,450,4,3,0
2,450,8,8,1
2,450,8,1,0
2,450,9,5,0
2,450,NaN,9,0
2,450,9,10,0
2,450,7,8,0
2,246,5,5,1
2,246,7,8,0
2,246,4,7,0
2,246,NaN,9,0
2,246,5,4,0
2,246,4,1,0
2,246,5,3,0
2,246,7,2,0
2,246,4,5,0
2,246,7,8,0
2,246,8,8,1
2,246,NaN,5,0
3,188,NaN,1,0
3,188,10,10,1
