experimenter	participant	direction	slab	hoop_size	inhoop
AM	1	South	15	small	1
AM	1	South	20	large	0
AM	1	North	7	small	5
AM	1	North	9	large	6
AM	1	North	11	small	5
AM	1	North	15	large	5
AM	1	North	19	small	0
AM	1	North	25	large	0
AM	1	North	3	small	9
AM	1	North	7	large	9
AM	1	North	9	small	4
AM	1	North	11	large	4
AM	1	North	15	small	4
AM	1	North	20	large	1
AM	1	South	7	small	4
AM	1	South	9	large	8
AM	1	South	11	small	2
AM	1	South	15	large	4
AM	1	South	19	small	0
AM	1	South	25	large	0
AM	2	South	3	small	9
AM	2	South	7	large	8
AM	2	South	9	small	6
AM	2	South	11	large	6
AM	2	South	15	small	0
AM	2	South	20	large	1
AM	2	North	7	small	3
AM	2	North	9	large	6
AM	2	North	11	small	1
AM	2	North	15	large	0
AM	2	North	19	small	1
AM	2	North	25	large	0
AM	2	North	3	small	9
AM	2	North	7	large	8
AM	2	North	9	small	2
AM	2	North	11	large	4
AM	2	North	15	small	1
AM	2	North	20	large	0
AM	2	South	7	small	4
AM	2	South	9	large	8
AM	2	South	11	small	2
AM	2	South	15	large	5
AM	2	South	19	small	1
AM	2	South	25	large	0
AM	3	South	3	small	9
AM	3	South	7	large	9
AM	3	South	9	small	3
AM	3	South	11	large	6
AM	3	South	15	small	4
AM	3	South	20	large	2
AM	3	North	7	small	3
AM	3	North	9	large	9
AM	3	North	11	small	3
AM	3	North	15	large	2
AM	3	North	19	small	2
AM	3	North	25	large	0
AM	3	North	3	small	8
AM	3	North	7	large	8
AM	3	North	9	small	5
AM	3	North	11	large	5
AM	3	North	15	small	1
AM	3	North	20	large	2
AM	3	South	7	small	6
AM	3	South	9	large	8
AM	3	South	11	small	1
AM	3	South	15	large	5
AM	3	South	19	small	1
AM	3	South	25	large	1
CS	3	South	3	small	9
CS	3	South	7	large	8
CS	3	South	9	small	2
CS	3	South	11	large	3
CS	3	South	15	small	0
CS	3	South	20	large	1
CS	3	North	7	small	6
CS	3	North	9	large	5
CS	3	North	11	small	1
CS	3	North	15	large	3
CS	3	North	19	small	0
CS	3	North	25	large	0
CS	3	North	3	small	9
CS	3	North	7	large	9
CS	3	North	9	small	2
CS	3	North	11	large	2
CS	3	North	15	small	0
CS	3	North	20	large	1
CS	3	South	7	small	2
CS	3	South	9	large	2
CS	3	South	11	small	6
CS	3	South	15	large	3
CS	3	South	19	small	0
CS	3	South	25	large	1
BS	1	South	3	small	9
BS	1	South	7	large	8
BS	1	South	9	small	5
BS	1	South	11	large	2
BS	1	South	15	small	2
BS	1	South	20	large	1
BS	1	North	7	small	7
BS	1	North	9	large	6
BS	1	North	11	small	3
BS	1	North	15	large	3
BS	1	North	19	small	0
BS	1	North	25	large	0
BS	1	North 	3	small	9
BS	1	North 	7	large	8
BS	1	North	9	small	7
BS	1	North 	11	large	2
BS	1	North 	15	small	1
BS	1	North	20	large	1
BS	1	South	7	small	6
BS	1	South	9	large	7
BS	1	South	11	small	5
BS	1	South	15	large	8
BS	1	South	19	small	0
BS	1	South	25	large	0
BS	2	South	3	small	9
BS	2	South	7	large	6
BS	2	South	9	small	2
BS	2	South	11	large	4
BS	2	South	15	small	2
BS	2	South	20	large	0
BS	2	North	7	small	5
BS	2	North	9	large	7
BS	2	North	11	small	1
BS	2	North	15	large	1
BS	2	North	19	small	0
BS	2	North	25	large	0
BS	2	North	3	small	9
BS	2	North	7	large	8
BS	2	North	9	small	4
BS	2	North	11	large	5
BS	2	North	15	small	0
BS	2	North	20	large	1
BS	2	South	7	small	3
BS	2	South	9	large	6
BS	2	South	11	small	2
BS	2	South	15	large	2
BS	2	South	19	small	0
BS	2	South	25	large	1
BS	3	South	3	small	9
BS	3	South	7	large	9
BS	3	South	9	small	2
BS	3	South	11	large	9
BS	3	South	15	small	2
BS	3	South	20	large	1
BS	3	North	7	small	5
BS	3	North	9	large	8
BS	3	North	11	small	6
BS	3	North	15	large	4
BS	3	North	19	small	0
BS	3	North	25	large	0
BS	3	North	3	small	9
BS	3	North	7	large	9
BS	3	North	9	small	7
BS	3	North	11	large	4
BS	3	North	15	small	2
BS	3	North	20	large	4
BS	3	South	7	small	7
BS	3	South	9	large	9
BS	3	South	11	small	2
BS	3	South	15	large	4
BS	3	South	19	small	1
BS	3	South	25	large	1
FP	3	South	3	small	9
FP	3	South	7	large	9
FP	3	South	9	small	5
FP	3	South	11	large	8
FP	3	South	15	small	0
FP	3	South	20	large	2
FP	3	North	7	small	5
FP	3	North	9	large	7
FP	3	North	11	small	6
FP	3	North	15	large	2
FP	3	North	19	small	2
FP	3	North	25	large	0
FP	3	North	3	small	9
FP	3	North	7	large	9
FP	3	North	9	small	5
FP	3	North	11	large	6
FP	3	North	15	small	1
FP	3	North	20	large	0
FP	3	South	7	small	7
FP	3	South	9	large	8
FP	3	South	11	small	4
FP	3	South	15	large	5
FP	3	South	19	small	1
FP	3	South	25	large	1
SA	1	South	3	small	9
SA	1	South	7	large	8
SA	1	South	9	small	4
SA	1	South	11	large	5
SA	1	South	15	small	2
SA	1	South	20	large	0
SA	1	North	7	small	5
SA	1	North	9	large	8
SA	1	North	11	small	4
SA	1	North	15	large	2
SA	1	North	19	small	1
SA	1	North	25	large	0
SA	1	South	3	small	9
SA	1	South	7	large	7
SA	1	South	9	small	5
SA	1	South	11	large	3
SA	1	South	15	small	1
SA	1	South	20	large	0
SA	1	North	7	small	4
SA	1	North	9	large	6
SA	1	North	11	small	2
SA	1	North	15	large	3
SA	1	North	19	small	0
SA	1	North	25	large	0
SA	2	South	3	small	9
SA	2	South	7	large	8
SA	2	South	9	small	5
SA	2	South	11	large	5
SA	2	South	15	small	2
SA	2	South	20	large	0
SA	2	North	7	small	4
SA	2	North	9	large	8
SA	2	North	11	small	3
SA	2	North	15	large	1
SA	2	North	19	small	0
SA	2	North	25	large	0
SA	2	South	3	small	8
SA	2	South	7	large	7
SA	2	South	9	small	2
SA	2	South	11	large	2
SA	2	South	15	small	1
SA	2	South	20	large	0
SA	2	North	7	small	4
SA	2	North	9	large	6
SA	2	North	11	small	1
SA	2	North	15	large	1
SA	2	North	19	small	1
SA	2	North	25	large	0
SA	3	South	3	small	9
SA	3	South	7	large	7
SA	3	South	9	small	4
SA	3	South	11	large	4
SA	3	South	15	small	0
SA	3	South	20	large	1
SA	3	North	7	small	3
SA	3	North	9	large	9
SA	3	North	11	small	4
SA	3	North	15	large	3
SA	3	North	19	small	0
SA	3	North	25	large	0
SA	3	South	3	small	9
SA	3	South	7	large	9
SA	3	South	9	small	4
SA	3	South	11	large	4
SA	3	South	15	small	2
SA	3	South	20	large	2
SA	3	North	7	small	8
SA	3	North	9	large	5
SA	3	North	11	small	0
SA	3	North	15	large	3
SA	3	North	19	small	0
SA	3	North	25	large	0
