Trial,Colour,Direction,Left_Gamble,Right_Gamble,Subject_Position,Accuracy,Winnings
1,B,Left,25,25,-4,0,0
2,G,Right,40,10,-3,0,0
3,Y,Right,25,25,-1,0,0
4,R,Left,25,25,0,1,25
5,R,Right,40,10,0,1,10
6,B,Left,10,40,4,1,10
7,G,Left,10,40,-2,0,0
8,Y,Left,25,25,0,0,0
9,B,Right,25,25,4,1,25
10,Y,Left,25,25,1,0,0
11,R,Left,10,40,0,1,40
12,G,Right,10,40,-13,0,0
