Trial,Colour,Direction,Left_Gamble,Right_Gamble,Subject_Position,Accuracy,Winnings
1,B,Left,25,25,-9,1,25
2,R,Left,25,25,0,1,25
3,B,Left,40,10,-9,1,40
4,R,Right,10,40,1,1,40
5,G,Right,10,40,12,1,40
6,G,Left,10,40,12,0,0
7,Y,Left,10,40,5,0,0
8,G,Left,10,40,12,0,0
9,B,Right,10,40,10,1,40
10,Y,Right,40,10,-1,1,10
11,Y,Left,40,10,0,1,40
12,R,Left,10,40,0,1,10
