Trial,Colour,Direction,Left_Gamble,Right_Gamble,Subject_Position,Accuracy,Winnings
1,Y,Left,40,10,-2,1,40
2,R,Left,25,25,0,1,25
3,G,Right,40,10,-15,0,0
4,Y,Left,40,10,-2,1,40
5,R,Right,25,25,0,1,25
6,G,Left,40,10,-15,1,40
7,B,Right,40,10,-9,0,0
8,R,Right,10,40,0,1,40
9,Y,Left,25,25,0,0,0
10,B,Left,25,25,0,0,0
11,G,Left,25,25,0,0,0
12,B,Left,25,25,-10,1,25
