Trial,Colour,Direction,Left_Gamble,Right_Gamble,Subject_Position,Accuracy,Winnings
1,B,Left,10,40,1,0,0
2,G,Left,25,25,0,0,0
3,R,Right,40,10,0,1,10
4,B,Left,25,25,0,0,0
5,G,Left,25,25,0,0,0
6,Y,Left,25,25,0,1,25
7,R,Right,25,25,0,1,25
8,Y,Left,25,25,0,1,25
9,G,Right,25,25,0,0,0
10,Y,Right,25,25,0,1,25
11,R,Right,25,25,0,1,25
12,B,Left,25,25,6,0,0
