Trial,Colour,Direction,Left_Gamble,Right_Gamble,Subject_Position,Accuracy,Winnings
1,R,Right,40,10,0,1,10
2,Y,Right,40,10,0,1,10
3,B,Right,25,25,-7,0,0
4,B,Left,25,25,-8,1,25
5,B,Left,40,10,-8,1,40
6,G,Left,40,10,-11,1,40
7,R,Left,10,40,0,1,10
8,R,Left,10,40,0,1,10
9,G,Left,10,40,12,0,0
10,G,Left,10,40,12,0,0
11,Y,Left,25,25,0,0,0
12,Y,Left,25,25,0,0,0
