Block	 Trial	Color	Direction	SubjectPosition	Accuracy
1 	1	Y	North	18	0
1 	2	B	North	21	0
1 	3	Y	North	21	0
1 	4	R	North	21	0
1 	5	R	North	21	1
1 	6	R	North	22	0
1 	7	R	South	22	0
1 	8	Y	South	16	1
1 	9	Y	North	15	0
1 	10	R	South	21	1
1 	11	B	North	21	0
1 	12	B	South	21	0
1 	13	Y	South	24	1
1 	14	B	North	25	0
1 	15	B	South	25	0
1 	16	B	North	23	0
1 	17	Y	North	23	0
1 	18	R	South	15	1
1 	19	B	South	15	1
1 	20	R	South	21	0
1 	21	R	North	25	1
1 	22	B	South	25	0
1 	23	B	North	25	0
1 	24	Y	South	28	0
1 	25	B	South	12	0
1 	26	Y	South	19	1
1 	27	R	South	24	0
1 	28	Y	North	24	1
1 	29	R	South	32	0
1 	30	Y	South	32	0
1 	31	Y	North	29	1
1 	32	B	South	29	0
1 	33	B	North	30	1
1 	34	R	North	30	1
1 	35	R	North	12	0
1 	36	B	South	21	0
1 	37	Y	South	28	0
1 	38	R	North	12	0
1 	39	B	North	12	0
1 	40	Y	North	21	0
1 	41	R	South	24	0
1 	42	B	South	28	0
1 	43	Y	North	28	1
1 	44	B	North	28	0
1 	45	R	North	34	1
1 	46	Y	South	15	1
1 	47	Y	South	31	0
1 	48	R	South	16	1
2 	1	R	South	16	1
2 	2	R	North	19	0
2 	3	R	South	19	1
2 	4	B	South	27	0
2 	5	R	South	27	1
2 	6	B	North	27	1
2 	7	Y	South	27	0
2 	8	Y	North	27	1
2 	9	R	North	27	1
2 	10	Y	North	12	1
2 	11	Y	North	12	0
2 	12	Y	South	12	0
2 	13	R	North	18	1
2 	14	R	North	18	0
2 	15	R	North	18	1
2 	16	R	North	21	1
2 	17	B	South	24	1
2 	18	R	South	21	0
2 	19	B	North	35	1
2 	20	R	North	35	1
2 	21	R	South	20	0
2 	22	Y	South	16	0
2 	23	B	North	14	1
2 	24	R	South	20	0
2 	25	R	South	20	1
2 	26	B	South	28	1
2 	27	R	South	27	0
2 	28	Y	North	21	0
2 	29	B	North	16	0
2 	30	B	North	12	0
2 	31	Y	North	24	0
2 	32	Y	South	18	1
2 	33	Y	South	18	0
2 	34	Y	South	18	0
2 	35	B	North	22	1
2 	36	Y	South	18	0
2 	37	B	South	18	1
2 	38	Y	North	22	1
2 	39	R	North	22	1
2 	40	B	South	22	1
2 	41	B	North	28	0
2 	42	Y	North	28	1
2 	43	B	South	28	1
2 	44	B	South	28	0
2 	45	B	South	28	1
2 	46	Y	South	16	0
2 	47	Y	North	16	0
2 	48	B	North	13	1
