Block	 Trial	Color	Direction	SubjectPosition	Accuracy
1 	1	Y	North	21	1
1 	2	B	North	20	0
1 	3	R	North	20	1
1 	4	B	South	20	0
1 	5	B	North	21	1
1 	6	Y	North	23	0
1 	7	R	South	20	0
1 	8	R	North	20	1
1 	9	R	South	17	1
1 	10	Y	South	20	0
1 	11	Y	North	24	1
1 	12	Y	South	18	1
1 	13	R	North	19	0
1 	14	Y	South	24	0
1 	15	R	North	17	1
1 	16	B	North	20	0
1 	17	B	South	18	1
1 	18	B	South	26	0
1 	19	Y	North	20	0
1 	20	R	North	20	1
1 	21	Y	North	18	1
1 	22	Y	North	22	1
1 	23	B	North	20	0
1 	24	R	South	18	1
1 	25	Y	South	21	0
1 	26	B	South	24	1
1 	27	R	South	20	0
1 	28	B	North	22	1
1 	29	B	South	28	0
1 	30	Y	North	30	1
1 	31	B	North	20	0
1 	32	Y	South	21	1
1 	33	R	South	16	1
1 	34	Y	North	12	0
1 	35	R	South	19	0
1 	36	R	North	20	1
1 	37	B	South	26	0
1 	38	B	South	16	1
1 	39	Y	South	21	0
1 	40	R	North	24	1
1 	41	B	South	24	1
1 	42	R	South	18	1
1 	43	R	South	22	1
1 	44	Y	South	28	1
1 	45	R	North	28	1
1 	46	Y	South	22	0
1 	47	B	North	20	0
1 	48	B	North	14	0
2 	1	Y	North	14	0
2 	2	B	South	15	1
2 	3	B	South	14	1
2 	4	Y	South	26	0
2 	5	B	South	20	0
2 	6	Y	South	22	0
2 	7	Y	South	20	0
2 	8	R	North	18	1
2 	9	R	North	18	1
2 	10	Y	North	14	0
2 	11	R	North	20	1
2 	12	Y	South	18	1
2 	13	B	North	22	1
2 	14	R	South	20	1
2 	15	Y	North	20	1
2 	16	Y	North	16	0
2 	17	Y	South	14	1
2 	18	R	South	14	1
2 	19	R	North	20	1
2 	20	R	South	20	1
2 	21	B	North	32	1
2 	22	B	North	20	0
2 	23	Y	North	22	1
2 	24	Y	North	12	1
2 	25	B	North	12	0
2 	26	B	South	10	1
2 	27	Y	South	18	1
2 	28	R	North	20	1
2 	29	Y	North	16	0
2 	30	R	North	20	1
2 	31	B	North	17	0
2 	32	R	South	20	1
2 	33	R	South	20	1
2 	34	R	North	20	1
2 	35	B	South	26	0
2 	36	B	South	32	0
2 	37	B	South	22	0
2 	38	R	North	20	1
2 	39	R	South	20	1
2 	40	B	North	23	1
2 	41	R	South	20	1
2 	42	Y	South	18	1
2 	43	R	South	20	1
2 	44	B	North	25	1
2 	45	B	North	25	1
2 	46	B	South	17	1
2 	47	Y	South	22	0
2 	48	Y	North	20	1
