Block	Trial	Color	Direction	SubjectPosition	Accuracy
1	1	B	North	21	1
1	2	R	North	22	0
1	3	B	South	23	1
1	4	R	North	17	0
1	5	B	North	18	1
1	6	R	South	22	1
1	7	Y	South	17	0
1	8	Y	North	23	1
1	9	R	North	17	0
1	10	B	South	18	0
1	11	Y	South	22	1
1	12	Y	South	17	0
1	13	Y	South	23	0
1	14	B	North	17	1
1	15	Y	South	23	1
1	16	R	North	16	1
1	17	B	South	23	0
1	18	Y	North	20	0
1	19	R	South	22	0
1	20	B	North	16	1
1	21	B	North	23	0
1	22	Y	North	17	0
1	23	B	South	18	0
1	24	B	South	20	1
1	25	B	South	18	1
1	26	Y	North	22	0
1	27	Y	South	26	0
1	28	Y	South	13	0
1	29	Y	South	23	0
1	30	B	North	22	0
1	31	B	South	22	0
1	32	R	North	24	1
1	33	B	North	8	0
1	34	B	North	36	0
1	35	R	South	24	0
1	36	Y	North	18	0
1	37	R	South	18	1
1	38	Y	North	23	1
1	39	R	South	16	0
1	40	R	North	16	0
1	41	Y	North	23	0
1	42	R	South	23	0
1	43	R	North	20	1
1	44	R	South	21	1
1	45	R	North	16	0
1	46	R	South	24	1
1	47	B	South	15	0
1	48	Y	North	19	0
2	1	B	North	20	1
2	2	R	North	18	1
2	3	B	South	22	0
2	4	R	North	18	0
2	5	B	North	27	1
2	6	R	South	18	1
2	7	Y	South	22	0
2	8	Y	North	17	0
2	9	R	North	23	1
2	10	B	South	22	0
2	11	Y	South	21	1
2	12	Y	South	19	1
2	13	Y	South	22	0
2	14	B	North	19	0
2	15	Y	South	22	1
2	16	R	North	22	1
2	17	B	South	18	1
2	18	Y	North	19	0
2	19	R	South	22	0
2	20	B	North	23	1
2	21	B	North	23	1
2	22	Y	North	26	1
2	23	B	South	13	1
2	24	B	South	23	0
2	25	B	South	13	1
2	26	Y	North	23	0
2	27	Y	South	16	1
2	28	Y	South	23	1
2	29	Y	South	19	0
2	30	B	North	18	1
2	31	B	South	17	0
2	32	R	North	23	1
2	33	B	North	14	0
2	34	B	North	23	1
2	35	R	South	17	1
2	36	Y	North	21	1
2	37	R	South	22	0
2	38	Y	North	17	0
2	39	R	South	23	1
2	40	R	North	18	1
2	41	Y	North	22	1
2	42	R	South	18	1
2	43	R	North	19	1
2	44	R	South	22	0
2	45	R	North	20	1
2	46	R	South	18	1
2	47	B	South	24	0
2	48	Y	North	17	1
