Block	 Trial	Color	Direction	SubjectPosition	Accuracy
1	 1	Y	North	17	0
1	 2	Y	South	20	0
1	 3	R	North	16	0
1	 4	B	North	22	0
1	 5	Y	North	20	1
1	 6	R	South	22	1
1	 7	B	South	18	1
1	 8	B	South	22	0
1	 9	R	South	18	0
1	 10	Y	North	18	0
1	 11	B	North	22	0
1	 12	R	North	20	0
1	 13	Y	South	22	0
1	 14	B	South	16	0
1	 15	R	South	20	1
1	 16	Y	South	22	0
1	 17	B	South	16	1
1	 18	R	South	22	0
1	 19	B	South	16	0
1	 20	Y	North	22	0
1	 21	B	North	24	0
1	 22	Y	North	20	0
1	 23	Y	South	18	0
1	 24	R	North	20	0
1	 25	R	North	22	1
1	 26	R	South	20	0
1	 27	R	South	20	0
1	 28	Y	South	24	0
1	 29	Y	South	24	1
1	 30	B	North	20	0
1	 31	R	North	24	1
1	 32	R	South	24	0
1	 33	Y	South	18	0
1	 34	R	South	18	0
1	 35	Y	North	18	0
1	 36	Y	North	22	1
1	 37	B	South	24	0
1	 38	R	North	22	1
1	 39	B	North	20	0
1	 40	B	North	24	0
1	 41	Y	North	26	0
1	 42	B	North	24	0
1	 43	B	North	26	0
1	 44	R	North	20	0
1	 45	B	South	18	0
1	 46	B	South	18	0
1	 47	R	North	22	0
1	 48	Y	South	24	1
2	 1	Y	South	22	0
2	 2	R	South	18	1
2	 3	R	South	20	1
2	 4	B	North	16	0
2	 5	Y	North	24	1
2	 6	R	South	18	1
2	 7	B	South	22	0
2	 8	B	South	18	0
2	 9	B	South	24	0
2	 10	B	South	16	0
2	 11	B	North	14	0
2	 12	B	South	24	0
2	 13	B	North	20	0
2	 14	R	North	24	1
2	 15	Y	North	24	1
2	 16	Y	South	24	0
2	 17	R	North	17	0
2	 18	Y	South	26	0
2	 19	R	South	20	1
2	 20	B	South	16	1
2	 21	B	South	22	0
2	 22	Y	South	14	0
2	 23	B	North	14	0
2	 24	B	North	24	0
2	 25	Y	North	22	1
2	 26	R	North	22	1
2	 27	R	South	20	1
2	 28	R	South	20	1
2	 29	R	North	18	0
2	 30	R	South	18	1
2	 31	Y	North	17	0
2	 32	R	North	22	1
2	 33	Y	North	22	1
2	 34	Y	South	20	0
2	 35	Y	North	18	0
2	 36	B	North	24	0
2	 37	B	South	24	0
2	 38	Y	North	22	0
2	 39	Y	South	22	1
2	 40	Y	South	21	0
2	 41	B	North	16	0
2	 42	R	North	24	1
2	 43	R	North	18	1
2	 44	Y	South	22	1
2	 45	Y	North	16	0
2	 46	B	North	22	0
2	 47	R	North	22	1
2	 48	R	South	22	0
