"Participant"	"slabhard"	"slab50"	"slabeasy"	"minus1"	"plus1"	"plus2"
"1"	"CP1"	0	0	0	0	0	0
"2"	"CP2"	0	0	0	0	0	0
"3"	"CP3"	0	0	0.1	0.0317460317460317	0.0303030303030303	0
"4"	"EM1"	0.333333333333333	0.222222222222222	0.0277777777777778	0.181818181818182	0.269230769230769	0.214285714285714
"5"	"EM2"	0.393518518518518	0.430555555555556	0	0.0151515151515152	0.0769230769230769	0.43452380952381
"6"	"EM3"	0	0	0	0	0	0
"7"	"EM4"	0.137254901960784	0.212121212121212	0.277777777777778	0.166666666666667	0.138888888888889	0.179487179487179
"8"	"EMC1"	0.128205128205128	0.136363636363636	0.333333333333333	0.296296296296296	0.28030303030303	0.138888888888889
"9"	"EMC2"	0.136363636363636	0.148148148148148	0.383333333333333	0.333333333333333	0.4	0.0909090909090909
"10"	"EMC3"	0.208333333333333	0.58	0.266666666666667	0.148148148148148	0.121212121212121	0.3
"11"	"IS1"	0.0192307692307692	0.00854700854700855	0	0	0	0
"12"	"IS2"	0.905982905982906	0.805555555555556	0.954545454545455	0.677083333333333	0.638461538461538	0.776859504132231
"13"	"IS3"	0.756944444444444	0	0	0.773809523809524	0.953703703703704	0.691666666666667
"14"	"SJ1"	0	0	0	0	0	0
"15"	"SJ2"	1.078125	1.08333333333333	0.847222222222222	0.658333333333333	0.527777777777778	1.06410256410256
"16"	"ZW1"	0	0	0.0333333333333333	0.0714285714285714	0.0707070707070707	0
"17"	"ZW2"	0.152380952380952	0.192857142857143	0.488888888888889	0.290598290598291	0.168831168831169	0.0944444444444444
"18"	"ZW3"	0.254545454545455	0.2	0.833333333333333	0.351851851851852	0.409090909090909	0.371794871794872
