"Participant"	"slabhard"	"slab50"	"slabeasy"	"minus1"	"plus1"	"plus2"
"1"	"CP1"	0.384615384615385	0.583333333333333	0.708333333333333	0.535714285714286	0.55	0.545454545454545
"2"	"CP2"	0.375	0.25	0.708333333333333	0.535714285714286	0.55	0.125
"3"	"CP3"	0.136363636363636	0.307692307692308	0.55	0.384615384615385	0.307692307692308	0.166666666666667
"4"	"EM1"	0.363636363636364	0.5	0.958333333333333	0.583333333333333	0.291666666666667	0.346153846153846
"5"	"EM2"	0.291666666666667	0.458333333333333	0.833333333333333	0.375	0.5	0.458333333333333
"6"	"EM3"	0.208333333333333	0.458333333333333	0.541666666666667	0.416666666666667	0.416666666666667	0.291666666666667
"7"	"EM4"	0.166666666666667	0.458333333333333	0.958333333333333	0.5	0.458333333333333	0.416666666666667
"8"	"EMC1"	0.192307692307692	0.423076923076923	0.708333333333333	0.333333333333333	0.166666666666667	0.25
"9"	"EMC2"	0.05	0.285714285714286	0.923076923076923	0.5	0.291666666666667	0.25
"10"	"EMC3"	0.192307692307692	0.318181818181818	0.75	0.5	0.433333333333333	0.375
"11"	"IS1"	0.333333333333333	0.384615384615385	0.8	0.615384615384615	0.458333333333333	0.227272727272727
"12"	"IS2"	0.222222222222222	0.5	0.954545454545455	0.666666666666667	0.45	0.214285714285714
"13"	"IS3"	0.5	0.5	1	0.75	0.357142857142857	0.5
"14"	"SJ1"	0.166666666666667	0.333333333333333	0.833333333333333	0.416666666666667	0.458333333333333	0.208333333333333
"15"	"SJ2"	0.166666666666667	0.291666666666667	0.625	0.375	0.208333333333333	0.25
"16"	"ZW1"	0.285714285714286	0.681818181818182	0.916666666666667	0.636363636363636	0.653846153846154	0.5
"17"	"ZW2"	0.111111111111111	0.321428571428571	0.636363636363636	0.4	0.133333333333333	0.25
"18"	"ZW3"	0.272727272727273	0.541666666666667	0.866666666666667	0.772727272727273	0.3	0.5
