"Participant"	"slabhard"	"slab50"	"slabeasy"	"minus1"	"plus1"	"plus2"
"1"	"CP1"	0.177686439956751	0.432516225266008	0.786514792205895	0.510882017052506	0.357387888976803	0.288671119503727
"2"	"CP2"	0.169316393504011	0.496289176364371	0.826467075776105	0.574511866510671	0.418247721325132	0.344095020692157
"3"	"CP3"	0.177686439956751	0.432516225266008	0.810597797381716	0.533120455789975	0.382430667739871	0.288671119503727
"4"	"EM1"	0.517919988756858	0.639114862869209	0.859136168155301	0.689108631257306	0.641261700540815	0.543564432868877
"5"	"EM2"	0.564450697058759	0.787757947189901	0.859356685868191	0.570422125853779	0.480301656040292	0.740692601991835
"6"	"EM3"	0.0960230315177094	0.413030299412133	0.82336458840311	0.490919751844913	0.339263169007674	0.272553255038856
"7"	"EM4"	0.263484855273189	0.678449496405735	0.895695098759579	0.709740437923343	0.566386430067097	0.539577345321146
"8"	"EMC1"	0.272117137647078	0.557816618509248	0.853524983441987	0.702323412000647	0.559676368856271	0.440639795270364
"9"	"EMC2"	0.261929156823534	0.568948812902625	0.788711853391116	0.7204813901467	0.669718942907759	0.392951487235103
"10"	"EMC3"	0.358932863137366	0.74336601439655	0.860663556187984	0.649427366830334	0.508056994531979	0.580613355598925
"11"	"IS1"	0.181480514955266	0.42027352903196	0.773701784272433	0.49220658084661	0.340418292942329	0.273575288814515
"12"	"IS2"	0.74160951975697	0.829449374074827	0.852136156346438	0.634181936642915	0.539633933690152	0.600113470644985
"13"	"IS3"	0.827538046816408	0.503180201245574	0.781295172255904	0.827759387958027	0.890447712295469	0.812135318281871
"14"	"SJ1"	0.132845879380075	0.503684056403725	0.830668546070942	0.581726225378456	0.425461959483592	0.350801490977667
"15"	"SJ2"	NA	NA	0.934755820664932	0.809545117587509	0.658188264778249	NA
"16"	"ZW1"	0.208203670650852	0.481189289450634	0.772162756083443	0.596869364470731	0.453232374401109	0.330586658088912
"17"	"ZW2"	0.280506042538297	0.610967884059093	0.891409643075402	0.721668819684217	0.528376387589182	0.400170781620879
"18"	"ZW3"	0.398908592560323	0.615857886835856	0.923213304268874	0.752307150482779	0.65758960724122	0.643527846741322
