"Participant"	"slabhard"	"slab50"	"slabeasy"	"minus1"	"plus1"	"plus2"
"1"	"CP1"	0.177686439956751	0.432516225266008	0.786514792205895	0.510882017052506	0.357387888976803	0.288671119503727
"2"	"CP2"	0.169316393504011	0.496289176364371	0.826467075776105	0.574511866510671	0.418247721325132	0.344095020692157
"3"	"CP3"	0.177686439956751	0.432516225266008	0.786514792205895	0.510882017052506	0.357387888976803	0.288671119503727
"4"	"EM1"	0.15437140546179	0.468770075673971	0.853919743092272	0.547368701476948	0.391690982622463	0.3196594989621
"5"	"EM2"	0.122220347715099	0.479809362747613	0.859356685868191	0.558313621253884	0.4022896908267	0.329364437945758
"6"	"EM3"	0.0960230315177094	0.413030299412133	0.82336458840311	0.490919751844913	0.339263169007674	0.272553255038856
"7"	"EM4"	0.137947437862931	0.51457587979633	0.836710897793638	0.59229170520248	0.436148726376501	0.360790574297451
"8"	"EMC1"	0.152023870211294	0.464266365544332	0.807283959749024	0.542881553990451	0.387387789279196	0.315736913963568
"9"	"EMC2"	0.153925742495755	0.467918998703238	0.756209371377056	0.546521732220367	0.390876878666557	0.318916618212007
"10"	"EMC3"	0.163382431560429	0.485594713065265	0.820243664085873	0.564019218202564	0.407873224291297	0.33450225708932
"11"	"IS1"	0.167031626047351	0.414279108047406	0.773701784272433	0.49220658084661	0.340418292942329	0.273575288814515
"12"	"IS2"	0.186083620851865	0.446418423185993	0.79583832596442	0.524972907241781	0.370451653791479	0.30039723821062
"13"	"IS3"	0.22308327026884	0.503180201245574	0.781295172255904	0.581235727791301	0.424969352756695	0.350342615953891
"14"	"SJ1"	0.132845879380075	0.503684056403725	0.830668546070942	0.581726225378456	0.425461959483592	0.350801490977667
"15"	"SJ2"	0.14467786612405	0.449836282244879	0.798074655385729	0.528418104629309	0.373680501524186	0.303309670334134
"16"	"ZW1"	0.208203670650852	0.481189289450634	0.765886988424821	0.559676410016547	0.403619656987417	0.330586658088912
"17"	"ZW2"	0.152023870211294	0.464266365544332	0.807283959749024	0.542881553990451	0.387387789279196	0.315736913963568
"18"	"ZW3"	0.157619615205915	0.474918384226679	0.813850346234979	0.553473844256982	0.39758495833341	0.325048756985966
